brand_id,brand_name
754,Rosaline By Zivame
755,Roving Mode
756,Rudra Bazaar
757,Rue Collection
758,Ruhaans
759,Rustorange
760,Rute
761,Rvk
762,Saadgi
763,Saadhvi
764,Saakaa
765,Saaki
766,Saanjh
767,Safaa
768,Saffron Threads
769,Saka Designs
770,Sakia
771,Salmon Stretch
772,Salwar Studio
773,Samsara Couture
774,Sandy And Ritz
775,Sangam Prints
776,Sangria
777,Sanwara
778,Saptrangi
779,Saree Mall
780,Saree Swarg
781,Sariya
782,Sasimo
783,Sassafras
784,Satrani
785,Satyam Weaves
786,Saubhagya
787,Scorpius
788,Scoup
789,Seeq
790,Seerat
791,Selvia
792,Senyora
793,Sera
794,Serona Fabrics
795,Sew You Soon
796,Sf Jeans By Pantaloons
797,Shades
798,Shadow & Saining
799,Shae By Sassafras
800,Shaftesbury London
801,Shaily
802,Shanvika
803,Shavya
804,Shaye
805,Sheczzar
806,Shewill
807,Shffl
808,Shiloh
809,Shingora
810,Shinoy
811,Shivangi Clothing
812,Shopgarb
813,Showoff
814,Shree
815,Shubhkala
816,Shubhvastra
817,Siavira
818,Sidhidata
819,Silai Bunai
820,Silk Bazar
821,Silk Land
822,Silvertraq
823,Singni
824,Sirikit
825,Siril
826,Skirans
827,Sky Heights
828,Skyria
829,Slazenger
830,Slenor
831,Smarty Pants
832,Soch
833,Sonex Gold
834,Souchii
835,Soundarya
836,Span
837,Splash
838,Spykar
839,Sqew
840,Stalk
841,Street 9
842,Studio Rasa
843,Studio Shringaar
844,Styl Co.
845,Style Quotient
846,Stylee Lifestyle
847,Stylestone
848,Styli
849,Stylo Bug
850,Stylum
851,Sudarshan Silks
852,Sugathari
853,Sugr
854,Sumavi-Fashion
855,Superbottoms
856,Superminis
857,Surachita
858,Suta
859,Suti
860,Swagg India
861,Swasti
862,Swatika
863,Sweet Dreams
864,Swishchick
865,Swtantra
866,Sztori
867,Taanz
868,Taavi
869,Taffykids
870,Tag 7
871,Tag 7 Plus
872,Tales & Stories
873,Talia
874,Taneira
875,Tankhi
876,Tantkatha
877,Tarama
878,Teakwood Leathers
879,Thara Sarees
880,The Chennai Silks
881,The Clothing Factory
882,The Dry State
883,The Label Bar
884,The Label Life
885,The Magic Wand
886,The Nks Plus
887,The Pink Moon
888,The Short Store
889,The Silhouette Store
890,The Souled Store
891,The Vanca
892,The Weave Traveller
893,Therebelinme
894,Thread & Button
895,Thread Muster
896,Tiara
897,Tikhi Imli
898,Tiny Girl
899,Tiny Miny Me
900,Tissu
901,Tistabene
902,Titliyan
903,Tokyo Talkies
904,Tommy Hilfiger
905,Toothless
906,Toronfras
907,Toulin
908,Trend Arrest
909,Trendmalls
910,Trendyol
911,Trendzmy
912,Triveni
913,Triyah
914,Truebrowns
915,Truerevo
916,Tulsattva
917,Tuna London
918,Tweedle
919,Twin Birds
920,Twisha
921,U&F
922,U.S. Polo Assn.
923,U.S. Polo Assn. Kids
924,U.S. Polo Assn. Women
925,Unaone
926,Under Armour
927,United Colors Of Benetton
928,United Liberty
929,Unnati Silks
930,Uptownie Lite
931,Urbanic
932,Urgear
933,Ursense
934,Uth By Roadster
935,V Sales
936,V&M
937,V2 Value & Variety
938,Vaaba
939,Vairagee
940,Vaividhyam
941,Vami
942,Van Heusen
943,Van Heusen Woman
944,Vanca Eco
945,Varanga
946,Varkala Silk Sarees
947,Varushka
948,Vastraa Fusion
949,Vastrado
950,Vastramay
951,Vastranand
952,Vbuyz
953,Vedana
954,Vedic
955,Veirdo
956,Veni Vidi Vici
957,Vero Amore
958,Vero Moda
959,Vero Moda Curve
960,Virah Fashion
961,Vishal Prints
962,Vishudh
963,Vividartsy
964,V-Mart
965,Voxati
966,Vredevogel
967,Vrsales
968,W
969,Warthy Ent
970,Wearjukebox
971,Weavers Villa
972,Weavetech Impex
973,Wedze By Decathlon
974,Westclo
975,Westwood
976,White Fire
977,White World
978,Wild U
979,Wilori
980,Winered
981,Winza Designer
982,Wishful
983,Wisstler
984,Women Touch
985,Woodland
986,Woods
987,Woowzerz
988,Wuxi
989,Xenilla
990,Xpose
991,Yaadleen
992,Yash Gallery
993,Ycanf
994,Yeros
995,Yk
996,Yoonoy
997,Yoyo Fashion
998,Yufta
999,Yuris
1000,Yuuki
1001,Yuvraah
1002,Zainab Chottani
1003,Zalora Active
1004,Zalora Basics
1005,Zalora Occasion
1006,Zalora Work
